Date,rsi_2,rsi_3,rsi_14,rsi_21,rsi_28,rsi_35
11/17/2021,76.44101645257244,73.62597943865372,72.13203981235209,70.17194701670822,68.56918475614054,67.37511325759795
11/18/2021,90.11965290008915,83.2390946442159,73.80358985002742,71.33179431153603,69.48542340916083,68.14136093176911
11/19/2021,95.04444509074871,88.58175684434931,75.17589845276467,72.29969138746135,70.2549805129881,68.78719572192146
11/22/2021,34.224862456148685,47.82181391935595,68.30658575202524,68.0023681400239,67.12550638040419,66.32010801518419
11/23/2021,18.61157345272113,32.925530323613586,64.16754786183073,65.32981160864816,65.15269521132856,64.75302927633095
11/24/2021,25.849074428736714,36.11858985867943,64.41595620808727,65.48219048486652,65.26594491519418,64.84450740767059
11/26/2021,3.5102101095989013,10.15956893989754,50.835522783852134,56.201546200763524,58.24215398686544,59.18631258832059
11/29/2021,60.7699794364789,52.97305117427299,58.74528483089058,61.091189222144784,61.83871303450648,62.06391819560098
11/30/2021,29.914506558203854,32.67461450124959,51.05739019629601,55.44303196523392,57.38431797452913,58.38142949316398
12/01/2021,27.55206785110876,31.16223528152392,50.456945127464614,54.99226472847509,57.0246362945765,58.08188228215373
12/02/2021,23.295475030827575,28.84537663676629,49.72835169255414,54.454477970788396,56.59902791624999,57.729140737863275
12/03/2021,5.302136009844901,12.965050763158615,42.47404944179398,48.935658033857834,52.16456999862859,54.019925525312246
12/06/2021,46.13602274579793,38.064583306004415,46.591591258780255,51.46999509122018,53.9987728496288,55.46544935341227
12/07/2021,84.00495661321072,71.68725829519086,55.9196461669932,57.54384085519104,58.52621344874398,59.099265442434636
12/08/2021,84.13273940465105,71.81869037789477,55.96708121815438,57.5757718488562,58.550443440156975,59.11893221011373
12/09/2021,52.662954849325914,56.97975071069663,53.64211585754607,55.924070930678084,57.25313070591339,58.044391504598295
12/10/2021,90.08958930541951,83.2249731605507,62.182729560734494,61.74159499709683,61.696180950326784,61.66522629583098
12/13/2021,59.03729328039772,63.803891439261704,58.33306734935173,59.020842295781726,59.56073358988216,59.89528800828624
