Date,rsi_2,rsi_3,rsi_14,rsi_21,rsi_28,rsi_35
11/17/2021,90.83902288540864,82.86938322829032,63.441825850998114,63.01813159779325,62.87223073561209,62.62814303757938
11/18/2021,37.31771394777833,52.013587206688356,58.91046264902375,59.86725367817423,60.39435775711704,60.56776301480961
11/19/2021,26.801267775881428,43.85709910142166,57.439248046373145,58.83865144924622,59.58345363612271,59.89235269222331
11/22/2021,6.0489763918250645,18.0349397954281,49.35883794301643,53.016799818667714,54.92800605468404,55.980754519321934
11/23/2021,4.301910935076464,14.643425559061782,47.47275484675996,51.61064211021533,53.78512955594552,55.010853492226644
11/24/2021,35.13634339518711,30.72486247971625,49.19334882321765,52.69480834207119,54.59146267234939,55.66163428775158
11/26/2021,69.39990242888348,53.53937355370208,52.12768493899063,54.55257666593491,55.97556372644432,56.77990961745473
11/29/2021,55.13487528110256,47.76126121619375,51.34558501335225,54.00718468130422,55.54557291978886,56.42116499033803
11/30/2021,9.172621268313364,16.063999274841223,42.897234835800845,47.88074953798611,50.62945458125615,52.27684462381847
12/01/2021,3.2369897098826357,7.6682987004697765,35.90077957155982,42.334936640426,45.98724021554298,48.263214557066796
12/02/2021,3.0260012953113886,7.357546940783678,35.564242401333985,42.0593600875302,45.75286024832958,48.058582302951315
12/03/2021,1.2411916068672753,4.404345737867516,32.00072075002623,39.110641125498795,43.23233034763972,45.85107430492138
12/06/2021,47.15093559821341,33.76911437374059,37.006386130138196,42.2416860211369,45.52418147219366,47.67312324683566
12/07/2021,75.24489036114241,57.610341655629725,42.56431509420334,45.81294804671804,48.17284024711391,49.795821137061715
12/08/2021,79.47681093777082,61.6287355619046,43.60361176003551,46.48676939925626,48.67476035176024,50.1991657042337
12/09/2021,23.824841894436318,31.260213848194255,38.48052969888417,42.67956344896319,45.54938740811501,47.51444571867845
12/10/2021,27.735511281021033,33.16903592263316,38.779855361257034,42.869404933150896,45.689132031014545,47.62586607610919
12/13/2021,13.178883690857006,22.905406749186156,36.7105645707343,41.3235011717106,44.41740415735678,46.53196095664168
12/14/2021,6.685314636012166,16.023333888530317,34.85704323597514,39.924647120586265,43.261856858923046,45.535673458520485
12/15/2021,54.64539865331488,43.397116766048214,38.44836681836764,42.131779923789495,44.85822591867901,46.79403807969541
12/16/2021,17.98524314836932,22.03364451350771,34.3985953442229,39.137883160020806,42.40473284499206,44.686488629080806
12/17/2021,12.705238999078176,17.932356164062256,33.23108029270958,38.25384277225065,41.67263571517569,44.05387116200466
12/20/2021,55.24623454368809,43.48026928729372,36.96137639626945,40.53702628143224,43.31565218086344,45.34338767527878
12/21/2021,82.47999162762622,67.60544638848225,42.48075983739468,44.004379088834426,45.8389843063432,47.33626885014477
12/22/2021,91.3033515670684,78.87882121083676,46.67249558796397,46.72363095998421,47.84607339587452,48.93410726932045
12/23/2021,89.8468601368331,78.22165450818238,46.61361751401621,46.68531847312654,47.81649822708733,48.90952176481315
12/27/2021,74.48040436111438,72.37290678715844,46.20766822674277,46.42682918189273,47.61910289362824,48.74648694044189
12/28/2021,40.26277942056461,56.60064891811014,45.15546581382226,45.765774097483785,47.11793306261591,48.33441046233872
12/29/2021,37.812025784102424,55.32491027997713,45.077489711099396,45.71756013241124,47.08168524566201,48.30475904695351
12/30/2021,70.52651582720902,65.85146794758967,45.993218681033994,46.259567598244246,47.46383277386428,48.600708837467714
12/31/2021,9.340923453894888,20.575810469914202,41.36867884525514,43.42509905975733,45.34943444257574,46.880640307330545
01/03/2022,4.886426039454037,13.344969655311715,39.141876387517385,42.00524553286065,44.27481264042726,46.00013490407733
01/04/2022,2.2517101110683058,8.104048942832137,36.54302388974603,40.30754607387618,42.97907368513252,44.93430459003142
01/05/2022,0.44178813942889406,2.5028164652598406,28.73686484114684,34.71136663573286,38.53589446150697,41.20095460036307
01/06/2022,0.22447486202887035,1.5408303484620092,25.24021724915447,31.910043867402223,36.19884987300414,39.18283525886138
01/07/2022,0.12163232646652489,1.0303041243242461,22.685371866525657,29.74383998271786,34.34254277026568,37.55533203875722
01/10/2022,0.11152222750875751,0.9820168868617998,22.443323420933623,29.535551514438126,34.16279577490364,37.39712991404623
01/11/2022,12.071148617914147,6.36761674297675,23.16567097393734,29.95693012412289,34.453881068857584,37.618457611518494
01/12/2022,6.435887575681718,4.90449896092305,22.346099556605594,29.284566963296754,33.88576918253676,37.12441585879323
01/13/2022,1.139551337039265,1.8059836094312942,18.78362184377815,26.209840428531237,31.22764400698823,34.78357328908933
01/14/2022,37.93179065873717,26.792072761694,23.51308826431115,29.027802547733074,33.18520322878011,36.2733215871685
01/18/2022,14.008818200279165,14.283785587953844,20.555538439704307,26.582297748238133,31.080307521717174,34.416534267762046
01/19/2022,39.809266232610106,30.761171668475868,24.05161889936609,28.724879671765933,32.58718740165695,35.57026934691926
01/20/2022,20.924935597099022,21.45637204305295,22.451397769399833,27.45941126024647,31.512585158872852,34.62718150709871
01/21/2022,1.4131568437129687,2.822018417730831,10.990780841348368,16.411354532844356,21.04086867266234,24.783203419412914
01/24/2022,1.2034192432138013,2.5157429699072793,10.45372789694703,15.788037855495816,20.384387329543856,24.123454427842816
01/25/2022,0.7547165017904547,1.8971508151054763,9.456981386601143,14.620241495993199,19.14376579743147,22.868283310767936
01/26/2022,0.6077913214768813,1.6945447623505174,9.152332241445407,14.261192214940536,18.75993725117611,22.477999802308815
01/27/2022,61.240939311121025,40.19003513552635,20.266286282578164,22.310283318351026,25.023531777965772,27.589317720901875
01/28/2022,55.38456760649957,38.243197274253085,20.037497320614946,22.121300875843758,24.851325372466505,27.427977395628318
01/31/2022,90.07788741419631,73.47667618927942,34.57840806537381,33.013549805778794,33.52456021244055,34.623131979141235
02/01/2022,95.25314744847205,83.42215566307927,42.475680000772996,39.26607177078738,38.67043940252679,38.98837387613262
02/02/2022,48.55439722229688,54.934665365501345,37.929595074775534,36.012025114751324,36.00554106744467,36.66487629401093
02/03/2022,26.290700893032366,38.08591698447463,34.49570707683519,33.49485316458485,33.91242260585223,34.820012371485404
02/04/2022,37.295438916215986,43.09591699830248,35.69552590067573,34.41601161383849,34.66619214389971,35.45977022539921
02/07/2022,24.419449205053013,35.48926020088541,34.494004416233196,33.55427687503169,33.95694281185452,34.83818127028292
02/08/2022,32.658888818027435,38.38015354611499,34.912090072594566,33.862392232337854,34.20431279122478,35.0458761218425
02/09/2022,72.25461022163583,57.20779089368924,37.71427773136453,35.90506653077168,35.835664504329046,36.41152755442486
02/10/2022,39.44619572127434,43.20334364611092,36.51682941697385,35.10000466350711,35.19561271781254,35.86256122743032
