Date,Microsoft
11/17/2021,96.41434262948206
11/18/2021,98.40637450199203
11/19/2021,100.0
11/22/2021,97.60956175298804
11/23/2021,95.61752988047809
11/24/2021,96.01593625498008
11/26/2021,90.83665338645417
11/29/2021,95.21912350597609
11/30/2021,91.63346613545816
12/01/2021,91.23505976095618
12/02/2021,90.43824701195219
12/03/2021,87.64940239043824
12/06/2021,88.84462151394422
12/07/2021,94.02390438247012
12/08/2021,94.42231075697211
12/09/2021,92.03187250996015
12/10/2021,99.601593625498
12/13/2021,97.21115537848605
12/14/2021,89.64143426294821
12/15/2021,92.82868525896414
12/16/2021,88.44621513944223
12/17/2021,88.04780876494023
12/20/2021,87.25099601593625
12/21/2021,89.2430278884462
12/22/2021,92.43027888446214
12/23/2021,93.22709163346613
12/27/2021,99.20318725099601
12/28/2021,98.00796812749003
12/29/2021,98.80478087649402
12/30/2021,96.81274900398405
12/31/2021,94.8207171314741
01/03/2022,93.62549800796812
01/04/2022,90.0398406374502
01/05/2022,86.45418326693226
01/06/2022,84.06374501992032
01/07/2022,84.4621513944223
01/10/2022,84.8605577689243
01/11/2022,85.65737051792829
01/12/2022,86.85258964143426
01/13/2022,78.88446215139442
01/14/2022,81.27490039840637
01/18/2022,76.49402390438246
01/19/2022,76.89243027888446
01/20/2022,75.69721115537848
01/21/2022,68.92430278884461
01/24/2022,69.32270916334662
01/25/2022,61.35458167330677
01/26/2022,69.7211155378486
01/27/2022,72.90836653386454
01/28/2022,79.6812749003984
01/31/2022,82.47011952191235
02/01/2022,80.47808764940238
02/02/2022,83.26693227091633
02/03/2022,74.90039840637449
02/04/2022,79.2828685258964
02/07/2022,74.5019920318725
02/08/2022,78.48605577689243
02/09/2022,82.86852589641434
02/10/2022,76.09561752988047
02/11/2022,67.72908366533864
02/14/2022,67.33067729083665
02/15/2022,74.10358565737052
02/16/2022,72.11155378486055
02/17/2022,64.14342629482071
02/18/2022,60.95617529880478
02/22/2022,60.557768924302785
02/23/2022,51.79282868525896
02/24/2022,66.53386454183267
02/25/2022,70.51792828685258
02/28/2022,70.91633466135458
03/01/2022,66.93227091633466
03/02/2022,73.30677290836653
03/03/2022,68.52589641434263
03/04/2022,62.948207171314735
03/07/2022,50.59760956175298
