Date,Apple
11/17/2021,37.05179282868526
11/18/2021,47.808764940239044
11/19/2021,53.38645418326693
11/22/2021,54.18326693227091
11/23/2021,54.980079681274894
11/24/2021,56.972111553784856
11/26/2021,44.6215139442231
11/29/2021,52.98804780876494
11/30/2021,65.73705179282868
12/01/2021,62.948207171314735
12/02/2021,61.35458167330677
12/03/2021,56.57370517928287
12/06/2021,66.13545816733067
12/07/2021,78.88446215139442
12/08/2021,92.03187250996015
12/09/2021,88.84462151394422
12/10/2021,98.80478087649402
12/13/2021,94.02390438247012
12/14/2021,88.04780876494023
12/15/2021,98.00796812749003
12/16/2021,83.26693227091633
12/17/2021,78.48605577689243
12/20/2021,75.69721115537848
12/21/2021,85.2589641434263
12/22/2021,93.62549800796812
12/23/2021,94.8207171314741
12/27/2021,99.601593625498
12/28/2021,97.60956175298804
12/29/2021,98.40637450199203
12/30/2021,96.41434262948206
12/31/2021,95.61752988047809
01/03/2022,100.0
01/04/2022,99.20318725099601
01/05/2022,91.23505976095618
01/06/2022,80.47808764940238
01/07/2022,82.07171314741035
01/10/2022,82.47011952191235
01/11/2022,92.43027888446214
01/12/2022,92.82868525896414
01/13/2022,82.86852589641434
01/14/2022,86.05577689243027
01/18/2022,76.09561752988047
01/19/2022,68.92430278884461
01/20/2022,62.54980079681275
01/21/2022,57.37051792828685
01/24/2022,55.776892430278885
01/25/2022,51.79282868525896
01/26/2022,51.39442231075697
01/27/2022,49.800796812749
01/28/2022,77.68924302788844
01/31/2022,90.43824701195219
02/01/2022,89.64143426294821
02/02/2022,94.42231075697211
02/03/2022,84.8605577689243
02/04/2022,83.66533864541832
02/07/2022,79.6812749003984
02/08/2022,90.83665338645417
02/09/2022,95.21912350597609
02/10/2022,81.27490039840637
02/11/2022,73.70517928286853
02/14/2022,74.90039840637449
02/15/2022,84.4621513944223
02/16/2022,84.06374501992032
02/17/2022,74.5019920318725
02/18/2022,71.31474103585657
02/22/2022,62.15139442231075
02/23/2022,52.589641434262944
02/24/2022,58.167330677290835
02/25/2022,63.34661354581673
02/28/2022,64.9402390438247
03/01/2022,59.7609561752988
03/02/2022,70.11952191235059
03/03/2022,69.32270916334662
03/04/2022,59.362549800796806
03/07/2022,50.199203187250994
03/08/2022,47.01195219123506
03/09/2022,58.96414342629482
03/10/2022,49.003984063745015
03/11/2022,40.23904382470119
03/14/2022,31.075697211155376
03/15/2022,40.63745019920319
03/16/2022,50.99601593625498
03/17/2022,53.78486055776892
03/18/2022,61.75298804780876
03/21/2022,66.93227091633466
03/22/2022,74.10358565737052
03/23/2022,77.29083665338645
03/24/2022,86.85258964143426
03/25/2022,90.0398406374502
03/28/2022,93.22709163346613
03/29/2022,97.21115537848605
03/30/2022,96.01593625498008
03/31/2022,89.2430278884462
04/01/2022,87.64940239043824
04/04/2022,96.81274900398405
04/05/2022,91.63346613545816
04/06/2022,80.0796812749004
04/07/2022,81.67330677290836
04/08/2022,76.89243027888446
04/11/2022,67.33067729083665
04/12/2022,72.90836653386454
04/13/2022,78.08764940239044
04/14/2022,65.33864541832669
04/18/2022,64.5418326693227
04/19/2022,71.71314741035856
04/20/2022,70.51792828685258
04/21/2022,69.7211155378486
04/22/2022,56.17529880478087
04/25/2022,58.56573705179282
04/26/2022,44.223107569721115
04/27/2022,43.02788844621514
04/28/2022,60.95617529880478
04/29/2022,47.41035856573705
05/02/2022,48.60557768924303
05/03/2022,50.59760956175298
05/04/2022,68.12749003984064
05/05/2022,43.42629482071713
05/06/2022,45.81673306772908
05/09/2022,34.26294820717131
05/10/2022,39.44223107569721
05/11/2022,22.31075697211155
05/12/2022,13.944223107569721
05/13/2022,23.904382470119522
05/16/2022,19.9203187250996
05/17/2022,27.490039840637447
05/18/2022,11.155378486055776
05/19/2022,3.9840637450199203
05/20/2022,4.780876494023904
05/23/2022,15.537848605577688
05/24/2022,9.9601593625498
05/25/2022,10.756972111553784
05/26/2022,16.733067729083665
05/27/2022,28.685258964143426
05/31/2022,27.091633466135455
06/01/2022,25.89641434262948
06/02/2022,33.067729083665334
06/03/2022,18.725099601593623
06/06/2022,21.115537848605577
06/07/2022,26.294820717131472
06/08/2022,24.701195219123505
06/09/2022,14.342629482071713
06/10/2022,3.585657370517928
06/13/2022,0.796812749003984
06/14/2022,1.195219123505976
06/15/2022,2.390438247011952
06/16/2022,0.0
06/17/2022,0.398406374501992
06/21/2022,2.788844621513944
06/22/2022,1.9920318725099602
06/23/2022,5.577689243027888
06/24/2022,12.350597609561753
06/27/2022,11.952191235059761
06/28/2022,4.382470119521912
06/29/2022,8.764940239043824
06/30/2022,3.187250996015936
07/01/2022,7.968127490039841
07/05/2022,11.553784860557768
07/06/2022,14.741035856573705
07/07/2022,21.51394422310757
07/08/2022,23.107569721115535
07/11/2022,17.92828685258964
07/12/2022,20.318725099601593
07/13/2022,19.52191235059761
07/14/2022,25.49800796812749
07/15/2022,30.278884462151392
07/18/2022,23.50597609561753
07/19/2022,32.669322709163346
07/20/2022,36.254980079681275
07/21/2022,41.43426294820717
07/22/2022,38.24701195219123
07/25/2022,35.85657370517928
07/26/2022,33.46613545816733
07/27/2022,43.82470119521912
07/28/2022,46.21513944223107
07/29/2022,57.76892430278884
08/01/2022,55.37848605577689
08/02/2022,52.191235059760956
08/03/2022,68.52589641434263
08/04/2022,67.72908366533864
08/05/2022,66.53386454183267
08/08/2022,63.745019920318725
08/09/2022,64.14342629482071
08/10/2022,75.2988047808765
08/11/2022,73.30677290836653
08/12/2022,80.87649402390439
08/15/2022,86.45418326693226
