Date,rsi_2,rsi_3,rsi_14,rsi_21,rsi_28,rsi_35
11/17/2021,97.81808530795634,93.95725689012149,84.45049481305274,80.36327343255071,76.79238453051946,73.78574161054254
11/18/2021,98.60052681577511,95.256339496507,85.33305939632605,81.23187099161424,77.65124439911858,74.62319213792243
11/19/2021,73.55262198198523,82.60770640964559,82.92628194207248,79.47911694146991,76.2615452436053,73.47587205311503
11/22/2021,30.831387070223514,53.52971230673231,76.5823224158353,74.85395299373612,72.58739894782104,70.43554469247105
11/23/2021,26.846479052220616,50.146486538599206,75.78453203220035,74.27404935951009,72.12693259065801,70.05425542725024
11/24/2021,23.773758380499515,47.877016701755835,75.36179897605953,73.97318226238798,71.8904646698121,69.85960830878231
11/26/2021,3.997969848007614,19.407680245982064,66.70323678110435,67.7466890280295,66.97029793072281,65.79318974370545
11/29/2021,73.89782412683235,66.91256292020465,72.23337409048378,71.76367477866086,70.35687092315182,68.80225662087568
11/30/2021,46.80496231839443,49.511402405637966,67.43864010309028,68.21759250292538,67.50378211167359,66.41174736842062
12/01/2021,21.904527922088093,30.852878170763432,60.7105016495326,63.13891807976561,63.372153231036215,62.92272163971646
12/02/2021,40.025861468206095,40.41741188768871,61.87375925684214,63.9394104957352,64.02067065030238,63.48353485502108
12/03/2021,34.14088907554148,37.52551426413524,61.14956878298077,63.40242859950286,63.587011765832344,63.118502372042364
12/06/2021,21.345700870484066,30.789400315619815,59.61774415205487,62.28285829157923,62.689338064690034,62.36599644287664
12/07/2021,88.51413444231784,77.67937599609873,66.63932374262757,67.04934583860117,66.51411236845314,65.65459356321067
12/08/2021,72.24998059993894,68.5037819425502,65.03426058689581,65.89686234743044,65.59502036875949,64.88530948028395
12/09/2021,64.236750198961,64.6174088794109,64.46664213653469,65.49561064431374,65.27749519616238,64.62072897845223
12/10/2021,81.85721037083395,74.22207776540836,65.87118028627015,66.43520151020809,66.02425988376626,65.25921804187693
12/13/2021,61.0587499923182,65.06412075484775,64.91595364285325,65.78499161346608,65.5191241530039,64.8428010054338
12/14/2021,27.554024840558228,45.093630546070585,62.57749023743597,64.20615193792072,64.29840492398243,63.83938456211062
12/15/2021,89.61897569513863,84.34898720285237,69.10652081394406,68.52689253333816,67.69844092837855,66.72687299864253
12/16/2021,24.808923425389196,32.00999440039068,53.71811738011292,57.42895405514578,58.83861997330519,59.2955220902527
12/17/2021,21.106201659545007,28.76281193244685,52.199786078444596,56.26837808372543,57.88571293178373,58.48228152304181
12/20/2021,20.516468764472222,28.34744128579534,52.04722715129178,56.15363686982922,57.792245248898865,58.40287976642469
